Date;Récépissé;Remettant;Code agence entrée;Agence gestion;Agence sortie;Code produit;Destinataire;Pays;CP;Ville;N. UM;N. Palette;Poids;C.R.;Encaissement;Date encaissement;Solde;Paiement;Chèque paiement
22/12/2020;1013332531;380802 - MULTI LENS AGADIR;2;1;72;ECR;ABDATI OPTIC;MA;70000;LAAYOUNE;1;0;1.2;196;196;25/12/2020;05/01/2021;30/12/2020 // Réf: 224670;V20201896
18/12/2020;1013332517;380802 - MULTI LENS AGADIR;2;1;72;ECR;ABDATI OPTIC;MA;70000;LAAYOUNE;1;0;1.2;212;212;21/12/2020;05/01/2021;30/12/2020 // Réf: 224670;V20201896
18/12/2020;1013332509;380802 - MULTI LENS AGADIR;2;1;73;ECR;IRIS OPTIC;MA;73000;DAKHLA;1;0;1.2;311;311;21/12/2020;05/01/2021;30/12/2020 // Réf: 224670;V20201896
16/12/2020;1013332502;380802 - MULTI LENS AGADIR;2;1;73;ECR;RIO OPTIC;MA;73000;DAKHLA;1;0;1.2;891;891;19/12/2020;05/01/2021;30/12/2020 // Réf: 224670;V20201896
16/12/2020;1012871549;380802 - MULTI LENS AGADIR;2;1;26;ECR;AMISTAD;MA;82000;TAN TAN;1;0;1.2;545;545;17/12/2020;05/01/2021;30/12/2020 // Réf: 224670;V20201896
14/12/2020;1012871535;380802 - MULTI LENS AGADIR;2;1;26;ECR;ESSAFI OPTIC;MA;82000;TAN TAN;1;0;2;595;595;19/12/2020;05/01/2021;30/12/2020 // Réf: 224670;V20201896
25/12/2020;1013527274;380815 - MULTI LENS MARRAKECH;15;1;18;ECR;ENNAKHIL OPTIC;MA;45000;OUARZAZATE;1;0;2;1 139.00;1139;26/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
24/12/2020;1013527268;380815 - MULTI LENS MARRAKECH;15;1;18;ECR;ENNAKHIL OPTIC;MA;45000;OUARZAZATE;1;0;2;555.8;555.8;25/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
24/12/2020;1013527269;380815 - MULTI LENS MARRAKECH;15;1;18;ECR;GALAXIE  OPTIC;MA;45000;OUARZAZATE;1;0;2;481.5;481.5;25/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
23/12/2020;1013527264;380815 - MULTI LENS MARRAKECH;15;1;18;ECR;TORENA OPTIC;MA;45000;OUARZAZATE;1;0;2;240;240;24/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
23/12/2020;1013527260;380815 - MULTI LENS MARRAKECH;15;1;18;ECR;GALAXIE OPTIC;MA;45000;OUARZAZATE;1;0;2;1 366.70;1366.7;24/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
23/12/2020;1013527265;380815 - MULTI LENS MARRAKECH;15;1;68;ECR;WAHA OPTIC;MA;47900;ZAGORA;1;0;2;250.8;250.8;24/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
22/12/2020;1013527257;380815 - MULTI LENS MARRAKECH;15;1;18;ECR;ENNAKHIL  OPTIC;MA;45000;OUARZAZATE;1;0;2;1 655.15;1655.15;23/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
22/12/2020;1013527258;380815 - MULTI LENS MARRAKECH;15;1;79;ECR;JAMAL  OPTIC;MA;44000;ESSAOUIRA;1;0;2;538;538;24/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
22/12/2020;1013527259;380815 - MULTI LENS MARRAKECH;15;1;68;ECR;WAHA OPTIC;MA;47900;ZAGORA;1;0;2;659.7;659.7;23/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
21/12/2020;1013527255;380815 - MULTI LENS MARRAKECH;15;1;18;ECR;GALAXIE OPTIC;MA;45000;OUARZAZATE;1;0;2;662.5;662.5;22/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
21/12/2020;1013527256;380815 - MULTI LENS MARRAKECH;15;1;68;ECR;WAHA OPTIC;MA;47900;ZAGORA;1;0;2;542.8;542.8;22/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
19/12/2020;1013527253;380815 - MULTI LENS MARRAKECH;15;1;18;ECR;GALAXIE OPTIC;MA;45000;OUARZAZATE;1;0;2;642;642;21/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
19/12/2020;1013527252;380815 - MULTI LENS MARRAKECH;15;1;18;ECR;ENNAKHIL OPTIC;MA;45000;OUARZAZATE;1;0;2;490;490;22/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
19/12/2020;1013527254;380815 - MULTI LENS MARRAKECH;15;1;18;ECR;TORENA OPTIC;MA;45000;OUARZAZATE;1;0;2;273;273;21/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
19/12/2020;1013527251;380815 - MULTI LENS MARRAKECH;15;1;68;ECR;WAHA OPTIC;MA;47900;ZAGORA;1;0;2;235;235;21/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
18/12/2020;1013524999;380815 - MULTI LENS MARRAKECH;15;1;65;ECR;HAMMOU OPTIC;MA;45800;TINGHIR;1;0;2;619.8;619.8;20/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
18/12/2020;1013525000;380815 - MULTI LENS MARRAKECH;15;1;68;ECR;WAHA OPTIC;MA;47900;ZAGORA;1;0;2;317.3;317.3;21/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
17/12/2020;1013524991;380815 - MULTI LENS MARRAKECH;15;1;68;ECR;WAHA OPTIC;MA;47900;ZAGORA;1;0;2;590.1;590.1;19/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
16/12/2020;1013524983;380815 - MULTI LENS MARRAKECH;15;1;65;ECR;ALMOU OPTIC;MA;45800;TINGHIR;1;0;2;217;217;22/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
16/12/2020;1013524984;380815 - MULTI LENS MARRAKECH;15;1;65;ECR;HAMMOU OPTIC;MA;45800;TINGHIR;1;0;2;1 511.60;1511.6;20/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
16/12/2020;1013524989;380815 - MULTI LENS MARRAKECH;15;1;68;ECR;WAHA OPTIC;MA;47900;ZAGORA;1;0;2;562.55;562.55;17/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
15/12/2020;1013524981;380815 - MULTI LENS MARRAKECH;15;1;65;ECR;HAMMOU OPTIC;MA;45800;TINGHIR;1;0;2;412;412;18/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
14/12/2020;1013524978;380815 - MULTI LENS MARRAKECH;15;1;65;ECR;TODGHA OPTIC;MA;45800;TINGHIR;1;0;2;346.5;346.5;17/12/2020;05/01/2021;30/12/2020 // Réf: 224671;V20201896
24/12/2020;1013078998;408402 - AB LENS AGADIR;2;1;18;ECR;IMAD OPTIC;MA;45000;OUARZAZATE;1;0;1.2;443;443;26/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
24/12/2020;1013075508;408402 - AB LENS AGADIR;2;1;290;ECR;ADIL VUE;MA;85000;TIZNIT;1;0;1.2;2 890.00;2890;25/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
24/12/2020;1013075505;408402 - AB LENS AGADIR;2;1;18;ECR;ESSALAM OPTIC;MA;45000;OUARZAZATE;1;0;1.2;333.5;333.5;26/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
24/12/2020;1013078996;408402 - AB LENS AGADIR;2;1;72;ECR;OPTIC AL QODS;MA;70000;LAAYOUNE;1;0;1.2;480.5;480.5;25/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
24/12/2020;1013078995;408402 - AB LENS AGADIR;2;1;72;ECR;LAILA VISION;MA;70000;LAAYOUNE;1;0;1.2;413.9;413.9;25/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
24/12/2020;1013078993;408402 - AB LENS AGADIR;2;1;72;ECR;NAJM OPTIC;MA;70000;LAAYOUNE;1;0;1.2;419.5;419.5;25/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
23/12/2020;1013078984;408402 - AB LENS AGADIR;2;1;18;ECR;IMAD OPTIC;MA;45000;OUARZAZATE;1;0;1.2;628;628;25/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
23/12/2020;1013078977;408402 - AB LENS AGADIR;2;1;72;ECR;OPTIQUE AL QODS;MA;70000;LAAYOUNE;1;0;2;335.5;335.5;24/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
23/12/2020;1013078981;408402 - AB LENS AGADIR;2;1;72;ECR;NAJM OPTIC;MA;70000;LAAYOUNE;1;0;2;1 299.50;1299.5;25/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
22/12/2020;1013078974;408402 - AB LENS AGADIR;2;1;18;ECR;ESSALAM OPTIC;MA;45000;OUARZAZATE;1;0;1.2;390;390;24/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
22/12/2020;1013078969;408402 - AB LENS AGADIR;2;1;72;ECR;OPTIC AL QODS;MA;70000;LAAYOUNE;1;0;2;511.5;511.5;23/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
22/12/2020;1013078970;408402 - AB LENS AGADIR;2;1;72;ECR;NAJM OPTIC;MA;70000;LAAYOUNE;1;0;2;257.5;257.5;23/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
21/12/2020;1013078962;408402 - AB LENS AGADIR;2;1;18;ECR;IMAD OPTIC;MA;45000;OUARZAZATE;1;0;1.2;325;325;22/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
21/12/2020;1013078954;408402 - AB LENS AGADIR;2;1;72;ECR;SLIMANE OPTIC;MA;70000;LAAYOUNE;1;0;1.2;304.5;304.5;22/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
21/12/2020;1013078955;408402 - AB LENS AGADIR;2;1;72;ECR;OPTIC AL QODS;MA;70000;LAAYOUNE;1;0;1.2;822.1;822.1;22/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
21/12/2020;1013078958;408402 - AB LENS AGADIR;2;1;72;ECR;NAJM OPTIC;MA;70000;LAAYOUNE;1;0;1.2;1 138.50;1138.5;22/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
21/12/2020;1013078957;408402 - AB LENS AGADIR;2;1;72;ECR;LAILA VISION;MA;70000;LAAYOUNE;1;0;1.2;404.1;404.1;22/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
19/12/2020;1013073898;408402 - AB LENS AGADIR;2;1;72;ECR;OPTIQUE AL QODS;MA;70000;LAAYOUNE;1;0;1.2;352.5;352.5;21/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
19/12/2020;1013073889;408402 - AB LENS AGADIR;2;1;18;ECR;IMAD OPTIC;MA;45000;OUARZAZATE;1;0;1.2;319;319;21/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
19/12/2020;1013073895;408402 - AB LENS AGADIR;2;1;72;ECR;NAJM OPTIC;MA;70000;LAAYOUNE;1;0;1.2;905;905;22/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
19/12/2020;1013073896;408402 - AB LENS AGADIR;2;1;72;ECR;BEST OPTIC;MA;70000;LAAYOUNE;1;0;1.2;535;535;24/12/2020;05/01/2021;30/12/2020 // Réf: 224706;V20201899
